Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
galprk.911.org,TX,29795200194,27.74894,29.7952,0.0271,,,
sanjuancounty.org,Utah,29695989967,27.65655,29.69599,0.02701,,,
cp.dps.ms.gov,MS,29620530317,27.58627,29.62053,0.02694,,,
westreadingborough.org,PA,29560368813,27.53024,29.56037,0.02688,,,
911.co.kent.md.us,MD,29261663330,27.25205,29.26166,0.02661,,,
alexandriapd.in.us,IN,28720672614,26.74821,28.72067,0.02612,,,
sheltonwa.gov,,28232136947,26.29323,28.23214,0.02568,,,
ecc.lmpd.galco,Texas,28159471042,26.22555,28.15947,0.02561,,,
rtcc.fsu.edu,FL,28060136992,26.13304,28.06014,0.02552,,,
ehpd.org,PA,27864318908,25.95067,27.86432,0.02534,,,
piattcosd.il.us,IL,27680083780,25.77909,27.68008,0.02517,,,
pd.rangertx.gov,TX,27636090475,25.73811,27.63609,0.02513,,,
suffolkcountyny.police.gov,NY,27290326006,25.4161,27.29033,0.02482,,,
pd.cary.il.gov,IL,27169862598,25.30391,27.16986,0.02471,,,
msi.sedemo.demo.ccpsa,IL,27142670572,25.27858,27.14267,0.02469,,,
eastaltonvillage.org,IL,27015776768,25.1604,27.01578,0.02457,,,
doc.state.ma.us,MA,26958657040,25.10721,26.95866,0.02452,,,
hppolice.org,CA,26860445210,25.01574,26.86045,0.02443,,,
riversideca.gov,CA,26751631876,24.9144,26.75163,0.02433,,,
onslowcounty,NC,26570399212,24.74561,26.5704,0.02417,,,
quinaultpolice.org,WA,26538845438,24.71623,26.53885,0.02414,,,
nodawaycoso.mo.us,MO,26506769514,24.68635,26.50677,0.02411,,,
pd.miamioh.edu,OH,26502882909,24.68273,26.50288,0.0241,,,
lamarque.tx.lmpd.p1prod.gov,,26494450717,24.67488,26.49445,0.0241,,,
sheriff.whitleygov.com,IN,26426700834,24.61178,26.4267,0.02403,,,
psap.fmyn.org,,26210234570,24.41018,26.21023,0.02384,,,
vesta.demo.lab4,CA,26084835284,24.2934,26.08484,0.02372,,,
ucpd.bexarmetro911,TX,25992723161,24.20761,25.99272,0.02364,,,
gunnisonpd.co.us,CO,25904517827,24.12546,25.90452,0.02356,,,
urbanaillinois.us,,25843421436,24.06856,25.84342,0.0235,,,
columbiasheriff.org,FL,25764153411,23.99474,25.76415,0.02343,,,
p16.oceancoso.nj.us,NJ,25286698997,23.55007,25.2867,0.023,,,
tjc.edu,TX,24999142983,23.28227,24.99914,0.02274,,,
worcesterma.gov,MA,24904015745,23.19367,24.90402,0.02265,,,
dnr.maryland.gov,MD,24757005815,23.05676,24.75701,0.02252,,,
pd.annapolis.md.us,MD,24703813012,23.00722,24.70381,0.02247,,,
graycounty.kansas911.org,KS,24568569965,22.88126,24.56857,0.02234,,,
middleburypolice.org,VT,24421864147,22.74463,24.42186,0.02221,,,
cityofguyton.com,GA,24373779941,22.69985,24.37378,0.02217,,,
co.wright.mn.us,MN,24361766332,22.68866,24.36177,0.02216,,,
police.skokomish.org,WA,24082785471,22.42884,24.08279,0.0219,,,
frenshipisd.tx.us,TX,23923322233,22.28033,23.92332,0.02176,,,
crawford-county.org,AR,23537893503,21.92137,23.53789,0.02141,,,
westburlington.org,IA,23170220249,21.57895,23.17022,0.02107,,,
northlewisburg.com,OH,22926919718,21.35236,22.92692,0.02085,,,
sagadahoccoso.me.us,ME,22831128231,21.26315,22.83113,0.02076,,,
westun.911.org,TX,22777115233,21.21284,22.77712,0.02072,,,
lancasterma.net,MA,22756887662,21.194,22.75689,0.0207,,,
aberdeentwppd.nj.us,NJ,22739959453,21.17824,22.73996,0.02068,,,
fscity.org,KS,22664765107,21.10821,22.66477,0.02061,,,
crh.org,Indiana,22601555875,21.04934,22.60156,0.02056,,,
manorpd.tx.us,Texas,22498009341,20.9529,22.49801,0.02046,,,
jaccty.911.org,TX,22282063723,20.75179,22.28206,0.02027,,,
parks.ky.gov,KY,22174852635,20.65194,22.17485,0.02017,,,
msi.mobilevideo.training,IL,22074347232,20.55834,22.07435,0.02008,,,
midlothian.tx.us,TX,22024778943,20.51217,22.02478,0.02003,,,
pendletonpd.in.us,IN,21947266107,20.43998,21.94727,0.01996,,,
pd.cceco.msi.demo,IL,21642161350,20.15583,21.64216,0.01968,,,
sandypd.or.us,OR,21541527032,20.06211,21.54153,0.01959,,,
washoetribe.us,NV,21525106962,20.04682,21.52511,0.01958,,,
umchealthsystem.com,TX,21320050285,19.85584,21.32005,0.01939,,,
ecc.calvertcountymd.gov,MD,20921342578,19.48452,20.92134,0.01903,,,
slcgov.com,UT,20855693273,19.42338,20.85569,0.01897,,,
athenstx.gov,TX,20755721365,19.33027,20.75572,0.01888,,,
whitepigeonvillage.org,MI,20538827048,19.12827,20.53883,0.01868,,,
franklin.tx.us,TX,20454516784,19.04975,20.45452,0.0186,,,
dpso.org,LA,20403277943,19.00203,20.40328,0.01856,,,
putnampolice.com,CT,20390992196,18.99059,20.39099,0.01855,,,
prfbrazil.motorolasolutions.com,IL,20320348123,18.9248,20.32035,0.01848,,,
haywoodcoso.nc.us,NC,20274276390,18.88189,20.27428,0.01844,,,
msi.vnxt.cl.prod.demo.police,,20019713886,18.64481,20.01971,0.01821,,,
msi.p1rms.sales.a.demo,,19994727765,18.62154,19.99473,0.01819,,,
cgpd.morriscountyks.org,KS,19683412755,18.33161,19.68341,0.0179,,,
marshal.galvestontx.com,TX,19601259100,18.2551,19.60126,0.01783,,,
manchestermd.gov,MD,19467453160,18.13048,19.46745,0.01771,,,
wgrdtest.tx.us,TX,19301736963,17.97614,19.30174,0.01755,,,
townofdeerfieldnh.org,NH,19109059795,17.7967,19.10906,0.01738,,,
pd.twp.jackson.oceancoso.nj.us,NJ,19047135686,17.73903,19.04714,0.01732,,,
salemcity.org,UT,18947628883,17.64635,18.94763,0.01723,,,
spp.dep.nj.gov,NJ,18803465432,17.51209,18.80347,0.0171,,,
pd.twp.stafford.oceancoso.nj.us,NJ,18753596973,17.46565,18.7536,0.01706,,,
ag.ny.gov,NY,18736044915,17.4493,18.73604,0.01704,,,
statepatrol.dps.mo.gov,MO,18696357010,17.41234,18.69636,0.017,,,
pd.richmondindiana.gov,IN,18662103395,17.38044,18.6621,0.01697,,,
ci.lake-mills.wi.us,WI,18657604071,17.37625,18.6576,0.01697,,,
gpd.comms.lcso.lake.fl.us,FL,18643532487,17.36314,18.64353,0.01696,,,
mdfr.miamidade.gov,Florida,18632359307,17.35274,18.63236,0.01695,,,
wsp.wa.gov,WA,18450328340,17.18321,18.45033,0.01678,,,
manteonc.gov,NC,18214086249,16.96319,18.21409,0.01657,,,
saginawpolice.org,TX,18207303829,16.95687,18.2073,0.01656,,,
crystalcitymo.org,MO,18053093230,16.81325,18.05309,0.01642,,,
pd.dl.nd.us,ND,18016265304,16.77895,18.01627,0.01639,,,
so.co.clark.wi.us,WI,17861227406,16.63456,17.86123,0.01624,,,
tppfl.gov,FL,17700159200,16.48456,17.70016,0.0161,,,
centralaz.edu,AZ,17559332487,16.3534,17.55933,0.01597,,,
morristown.in.gov,IN,17508183085,16.30577,17.50818,0.01592,,,
princeton.in.gov,IN,17476466884,16.27623,17.47647,0.01589,,,
cpso.la.us,LA,17471504971,16.27161,17.4715,0.01589,,,
cityofcastlehills.com,TX,17440397146,16.24264,17.4404,0.01586,,,
monroeville.pa.us,PA,17387356342,16.19324,17.38736,0.01581,,,
walkerpd.org,LA,17384242631,16.19034,17.38424,0.01581,,,
memvil.911.org,TX,17214001752,16.03179,17.214,0.01566,,,
chpd.bexarmetro911,TX,17181791466,16.00179,17.18179,0.01563,,,
greenecounty.mo.p1cadhost.trn.gov,MO,17056393855,15.885,17.05639,0.01551,,,
conroefiremarshalsoffice.tx.us,TX,16986172482,15.81961,16.98617,0.01545,,,
p23.oceancoso.nj.us,NJ,16886844324,15.7271,16.88684,0.01536,,,
sandbox.arapahoesheriff,CO,16880842383,15.72151,16.88084,0.01535,,,
pd.williamsaz.gov,AZ,16860928703,15.70296,16.86093,0.01533,,,
basstrainingpsap5acd.bdctrn.ghc.lab,TX,16806247806,15.65204,16.80625,0.01529,,,
nevadadow.nv.us,NV,16727743094,15.57892,16.72774,0.01521,,,
charlestonwvpolice.org,WV,16597410631,15.45754,16.59741,0.0151,,,
barnstablepolice.com,MA,16528565055,15.39343,16.52857,0.01503,,,
msi.onehandheld.test.records.legacy,IL,15753859500,14.67192,15.75386,0.01433,,,
msi.dev,UT,15714309623,14.63509,15.71431,0.01429,,,
arlingtonmn.com,MN,15648952139,14.57422,15.64895,0.01423,,,
pd.gmu.edu,VA,15575842266,14.50613,15.57584,0.01417,,,
e9e64302bf87826587475d7122cf5a07 (Agency not Matched),,15545433222,14.47781,15.54543,0.01414,,,
bhpd.bexarmetro911,TX,15510402099,14.44519,15.5104,0.01411,,,
crosslake.net,MN,15469318280,14.40693,15.46932,0.01407,,,
heidelbergborough.org,PA,15408604804,14.35038,15.4086,0.01401,,,
ouachitaparishso.la.us,LA,15155635302,14.11479,15.15564,0.01378,,,
sprval.911.org,TX,15088582710,14.05234,15.08858,0.01372,,,
claycountymo.gov,MO,14928181227,13.90295,14.92818,0.01358,,,
coatesville.org,PA,14919669344,13.89502,14.91967,0.01357,,,
southernute-nsn.gov,CO,14884300999,13.86209,14.8843,0.01354,,,
co.roseau.mn.us,MN,14831619803,13.81302,14.83162,0.01349,,,
washingtonpa.gov,PA,14638891509,13.63353,14.63889,0.01331,,,
pd.norwich.ct.org,CT,14581289182,13.57988,14.58129,0.01326,,,
sodaspringsid.com,ID,14306452648,13.32392,14.30645,0.01301,,,
wcpd.bexarmetro911,TX,14294952041,13.31321,14.29495,0.013,,,
cityofmccleary.com,WA,14232674992,13.25521,14.23267,0.01294,,,
evidence.api.tests,IL,14230071268,13.25279,14.23007,0.01294,,,
sheriff.yellowstonecountymt.gov,MT,14168647239,13.19558,14.16865,0.01289,,,
florenceal.org,AL,13944466725,12.9868,13.94447,0.01268,,,
hlpd.bexarmetro911,TX,13544758440,12.61454,13.54476,0.01232,,,
sd.christiancounty.ky.us,KY,13532524743,12.60315,13.53252,0.01231,,,
perrycity.org,UT,13485835656,12.55966,13.48584,0.01227,,,
cityofalex.com,LA,13473132740,12.54783,13.47313,0.01225,,,
ashlandky.gov,KY,13368724219,12.45059,13.36872,0.01216,,,
shorewoodpd.il.us,IL,13267998805,12.35679,13.268,0.01207,,,
dunbartonnh.org,NH,13173924999,12.26917,13.17392,0.01198,,,
wcpd.org,CA,13173238468,12.26853,13.17324,0.01198,,,
lapelpd.in.us,IN,13163066088,12.25906,13.16307,0.01197,,,
westbranch.com,MI,13143797662,12.24112,13.1438,0.01195,,,
glencanyon.nps.gov,AZ,13127944549,12.22635,13.12794,0.01194,,,
pd.manawawi.gov,WI,13104431625,12.20445,13.10443,0.01192,,,
ecc.sfpd.galco,Texas,13003341074,12.11031,13.00334,0.01183,,,
cityofrockvalley.com,IA,12969885142,12.07915,12.96989,0.0118,,,
hedvil.911.org,TX,12924364055,12.03675,12.92436,0.01175,,,
mdpd.com,Florida,12910856333,12.02417,12.91086,0.01174,,,
comanchecounty.kansas911.org,KS,12612772716,11.74656,12.61277,0.01147,,,
wcso.williams.nd.us,North Dakota,12464788930,11.60874,12.46479,0.01134,,,
pv.weber911.org,UT,12454633004,11.59928,12.45463,0.01133,,,
brazoriacopct2.tx.us,TX,12362972101,11.51392,12.36297,0.01124,,,
lasalleso.com,Louisiana,12328844339,11.48213,12.32884,0.01121,,,
pd.losfresnos.tx.us,Texas,12212338631,11.37363,12.21234,0.01111,,,
highlandhts.cuyahogacounty.us,OH,12165698143,11.33019,12.1657,0.01106,,,
penobscot-county.net,ME,12090737966,11.26038,12.09074,0.011,,,
fcsotn.org,TN,12089512186,11.25924,12.08951,0.011,,,
vesta.demo.lab2,CA,11904590470,11.08701,11.90459,0.01083,,,
corneliuspd.org,NC,11826948416,11.0147,11.82695,0.01076,,,
blcso.us,ID,11817930439,11.00631,11.81793,0.01075,,,
vesta.demo.lab3,CA,11604314540,10.80736,11.60431,0.01055,,,
so.rpso.la.us,LA,11580772286,10.78543,11.58077,0.01053,,,
pd.hartselle.org,AL,11566635262,10.77227,11.56664,0.01052,,,
penningtonpd.nj.us,NJ,11505741405,10.71556,11.50574,0.01046,,,
lawpd.com,MA,11436192675,10.65078,11.43619,0.0104,,,
mercercountypa.gov,PA,11322646038,10.54504,11.32265,0.0103,,,
emery.ut.gov,UT,11256396836,10.48334,11.2564,0.01024,,,
cityofkenyon.com,MN,11237681098,10.46591,11.23768,0.01022,,,
vlfire.911.org,TX,11231647457,10.46029,11.23165,0.01022,,,
sanjuanpolice.com,TX,11129677797,10.36532,11.12968,0.01012,,,
comms.ps.jupiterisland.fl.us,FL,11048273014,10.28951,11.04827,0.01005,,,
littletonpd.org,NH,11006648131,10.25074,11.00665,0.01001,,,
mcd911.net,MI,10989414722,10.23469,10.98941,0.00999,,,
sabinapd.com,OH,10921074224,10.17104,10.92107,0.00993,,,
cityofburnsor.gov,OR,10913085297,10.1636,10.91309,0.00993,,,
atlanticbeachpd.nc.us,NC,10909297764,10.16008,10.9093,0.00992,,,
gunbarrelcity.net,TX,10891994785,10.14396,10.89199,0.00991,,,
cityofhoquiam.com,WA,10876871514,10.12988,10.87687,0.00989,,,
pd.latwp.org,PA,10872898585,10.12618,10.8729,0.00989,,,
clevelandtn.gov,Tennessee,10752798702,10.01432,10.7528,0.00978,,,
mahwahpd.org,NJ,10734576980,9.99735,10.73458,0.00976,,,
slocity.org,CA,10543438793,9.81934,10.54344,0.00959,,,
rockymountva.org,VA,10470133396,9.75107,10.47013,0.00952,,,
police.ci.lubbock.tx.us,TX,10387737435,9.67433,10.38774,0.00945,,,
ci.banning.ca.us,CA,10321969151,9.61308,10.32197,0.00939,,,
butlersheriff.org,OH,10273060370,9.56753,10.27306,0.00934,,,
ecc.kpd.galco,Texas,10154419281,9.45704,10.15442,0.00924,,,
csx.com,Florida,10136580098,9.44043,10.13658,0.00922,,,
greenfieldtownshippa.gov,PA,10135885113,9.43978,10.13589,0.00922,,,
florhamparkpd.nj.us,NJ,10105118767,9.41113,10.10512,0.00919,,,
stcc.edu,MA,10019816990,9.33168,10.01982,0.00911,,,
marionpolice.us,AR,10009192316,9.32179,10.00919,0.0091,,,
sanpetecounty.gov,UT,9934919555,9.25261,9.93492,0.00904,,,
gpshoresmi.gov,MI,9934218712,9.25196,9.93422,0.00904,,,
co.okanogan.wa,WA,9769601332,9.09865,9.7696,0.00889,,,
pd.westwindsor.nj.us,NJ,9709189806,9.04239,9.70919,0.00883,,,
cardington.org,OH,9649626455,8.98691,9.64963,0.00878,,,
em.montgomerycountyia.gov,IA,9595496405,8.9365,9.5955,0.00873,,,
so.co.woodson.ks.us,KS,9551501205,8.89553,9.5515,0.00869,,,
ciceroin.org,IN,9513634019,8.86026,9.51363,0.00865,,,
salisburypd.com,MD,9195411361,8.56389,9.19541,0.00836,,,
pd.chesterfield.in.gov,IN,9121651009,8.4952,9.12165,0.0083,,,
so.effinghamcountyil.gov,IL,9073019786,8.44991,9.07302,0.00825,,,
elmontepd.org,CA,8977855819,8.36128,8.97786,0.00817,,,
mcallenpd.net,TX,8887146774,8.2768,8.88715,0.00808,,,
msi.springfield.demo,MA,8860211120,8.25171,8.86021,0.00806,,,
so.wicomico.co.md.us,MD,8814054874,8.20873,8.81405,0.00802,,,
cranberrytownship.org,PA,8800176269,8.1958,8.80018,0.008,,,
p29.oceancoso.nj.us,NJ,8726422564,8.12711,8.72642,0.00794,,,
ahpd.bexarmetro911,Texas,8557647307,7.96993,8.55765,0.00778,,,
cityofamoryms.com,MS,8433885414,7.85467,8.43389,0.00767,,,
mountairy.org,NC,8354597443,7.78083,8.3546,0.0076,,,
kbpd.bexarmetro911,TX,8297140503,7.72731,8.29714,0.00755,,,
lonokepd.ar.us,AR,8259312341,7.69208,8.25931,0.00751,,,
burlingtoniowa.org,IA,8168927398,7.60791,8.16893,0.00743,,,
p02.oceancoso.nj.us,NJ,8161521829,7.60101,8.16152,0.00742,,,
yan-tribe.org,AZ,8039138966,7.48703,8.03914,0.00731,,,
pd.wdm.iowa.gov,IA,7972320193,7.4248,7.97232,0.00725,,,
pd.cityofsergeantbluff.com,IA,7961561050,7.41478,7.96156,0.00724,,,
dyersburgtn.gov,TN,7953535111,7.40731,7.95354,0.00723,,,
cityofavonmn.com,Minnesota,7915118743,7.37153,7.91512,0.0072,,,
sjso.org,Florida,7835500984,7.29738,7.8355,0.00713,,,
basstrainingpsap3.bdctrn.ghc.lab,TX,7757248648,7.2245,7.75725,0.00706,,,
upperallentwp.pa.us,PA,7554645934,7.03581,7.55465,0.00687,,,
msi.vnxt.cl.prod.experience.com,KS,7528226065,7.01121,7.52823,0.00685,,,
guadalupecopct3.tx.us,TX,7472021583,6.95886,7.47202,0.0068,,,
parkforestpd.il.us,,7353444973,6.84843,7.35344,0.00669,,,
pd.edenprairie.org,MN,7306829642,6.80502,7.30683,0.00665,,,
northshore.edu,MA,7300818602,6.79942,7.30082,0.00664,,,
boothbayharbor.org,ME,7279815909,6.77986,7.27982,0.00662,,,
bethel-oh.gov,OH,7243362658,6.74591,7.24336,0.00659,,,
alamotexas.org,,7232566657,6.73585,7.23257,0.00658,,,
dillonpd.mt.us,MT,7198223156,6.70387,7.19822,0.00655,,,
csi.co.ocean.nj.us,New Jersey,7183717331,6.69036,7.18372,0.00653,,,
eastchester.org,NY,7158248049,6.66664,7.15825,0.00651,,,
lakecrystalmn.org,MN,7127392430,6.6379,7.12739,0.00648,,,
sdh.state.ma.us,MA,7088785822,6.60195,7.08879,0.00645,,,
medfordpd.ma.us,MA,7053695456,6.56927,7.0537,0.00642,,,
elgin.edu,IL,7020724752,6.53856,7.02072,0.00639,,,
newwashingtonpd.oh.us,OH,6960875048,6.48282,6.96088,0.00633,,,
walkercosd.ga.us,GA,6898205756,6.42445,6.89821,0.00627,,,
bcutah.org,UT,6707216862,6.24658,6.70722,0.0061,,,
roxburyct.com,CT,6638616576,6.18269,6.63862,0.00604,,,
kendallcountysheriff.com,TX,6593284167,6.14047,6.59328,0.006,,,
statecollegepa.us,Pennsylvania,6575296263,6.12372,6.5753,0.00598,,,
1800222tips.com,ON,6522533558,6.07458,6.52253,0.00593,,,
msi.flex.pdm.b.demo,NJ,6383192869,5.94481,6.38319,0.00581,,,
chesterfield.gov,Virginia,6305742709,5.87268,6.30574,0.00574,,,
sheriff.steelecountymn.gov,MN,6245497215,5.81657,6.2455,0.00568,,,
sheriff.co.sherburne.mn.us,MN,6228069207,5.80034,6.22807,0.00566,,,
bridgewaterpd.ct.us,CT,6216852837,5.7899,6.21685,0.00565,,,
fcso.frio.tx.us,TX,6193688273,5.76832,6.19369,0.00563,,,
sheltonpolice.net,CT,6174870975,5.7508,6.17487,0.00562,,,
gonzagauniv.wa.us,WA,6170923933,5.74712,6.17092,0.00561,,,
evidence3-motorolasolutions.com,,5972913217,5.56271,5.97291,0.00543,,,
farmville.com,UT,5972444249,5.56227,5.97244,0.00543,,,
hpdps.org,Texas,5960031459,5.55071,5.96003,0.00542,,,
pd.rolandok.org,OK,5944758895,5.53649,5.94476,0.00541,,,
roseville.ca.us,,5938772296,5.53091,5.93877,0.0054,,,
libertypd.org,SC,5916631642,5.51029,5.91663,0.00538,,,
ccsq-cqltm2,IL,5877506757,5.47385,5.87751,0.00535,,,
pflugervillefire.org,TX,5847082182,5.44552,5.84708,0.00532,,,
comms.co.republic.ks.us,KS,5836716009,5.43587,5.83672,0.00531,,,
menomonie-pd.com,WI,5797931957,5.39974,5.79793,0.00527,,,
cityofderidder.org,LA,5698793318,5.30741,5.69879,0.00518,,,
hopkinsmn.com,MN,5681865619,5.29165,5.68187,0.00517,,,
rushcounty.kansas911.org,KS,5590120877,5.20621,5.59012,0.00508,,,
washingtontwnpdwarrenco.nj.us,NJ,5585945306,5.20232,5.58595,0.00508,,,
stjamesla.com,LA,5545587902,5.16473,5.54559,0.00504,,,
ci.douglasville.ga.us,GA,5530074888,5.15028,5.53007,0.00503,,,
pd.battlecreekmi.gov,Michigan,5361826483,4.99359,5.36183,0.00488,,,
mrso.morriscountyks.org,KS,5345775185,4.97864,5.34578,0.00486,,,
springdalear.gov,AR,5320574147,4.95517,5.32057,0.00484,,,
killingtontown.com,VT,5309913481,4.94524,5.30991,0.00483,,,
fultonschools.org,GA,5283320888,4.92048,5.28332,0.00481,,,
west.echccst.com,,5216069558,4.85784,5.21607,0.00474,,,
decaturil.gov,IL,5211020411,4.85314,5.21102,0.00474,,,
cherokee.ga.so.trn.gov,GA,5209499652,4.85172,5.2095,0.00474,,,
dequincy.org,LA,5193653224,4.83697,5.19365,0.00472,,,
pupd.oswegocounty.com,NY,5151577789,4.79778,5.15158,0.00469,,,
motoville.911,IL,5150494216,4.79677,5.15049,0.00468,,,
romewi.com,WI,5147839568,4.7943,5.14784,0.00468,,,
barrack-e.comms.sp.md.gov,MD,5138725629,4.78581,5.13873,0.00467,,,
clearlakeshorespd.tx.us,TX,5122339307,4.77055,5.12234,0.00466,,,
comms.sheriff.chase.ks.us,KS,5121846777,4.77009,5.12185,0.00466,,,
pd.wylie.tx.us,TX,5111401112,4.76036,5.1114,0.00465,,,
bexarmetro911,,5074118768,4.72564,5.07412,0.00461,,,
basstrainingpsap1.bdctrn.ghc.lab,TX,5013128509,4.66884,5.01313,0.00456,,,
kanawhasheriff.us,WV,5007010169,4.66314,5.00701,0.00455,,,
rockymountnc.gov,NC,5005380626,4.66162,5.00538,0.00455,,,
pataskalapd.oh.us,OH,4982499363,4.64031,4.9825,0.00453,,,
pal800.sc.gov,SC,4961281487,4.62055,4.96128,0.00451,,,
pd.twp.northville.mi.us,MI,4947850360,4.60804,4.94785,0.0045,,,
willcounty.il.p1cadhost.trn.gov,IL,4893926177,4.55782,4.89393,0.00445,,,
msi.ccr.sales.a,IL,4859315139,4.52559,4.85932,0.00442,,,
p1trn.la-marque.tx.us,TX,4826989094,4.49548,4.82699,0.00439,,,
claysheriff.com,Florida,4728616912,4.40387,4.72862,0.0043,,,
southwoods.doc.nj.gov,NJ,4713950697,4.39021,4.71395,0.00429,,,
elkgrovepd.org,California,4612502866,4.29573,4.6125,0.0042,,,
morgancountysheriffal.gov,AL,4606492136,4.29013,4.60649,0.00419,,,
dallaspolice.net,TX,4602713751,4.28661,4.60271,0.00419,,,
pencowv.com,WV,4579812462,4.26528,4.57981,0.00417,,,
tensasso.org,LA,4566139659,4.25255,4.56614,0.00415,,,
training.sstx.gov.ssso,TX,4556032048,4.24314,4.55603,0.00414,,,
iberiaso.org,LA,4506810798,4.19729,4.50681,0.0041,,,
stateprison.doc.nj.gov,NJ,4505862144,4.19641,4.50586,0.0041,,,
elmorecounty.org,ID,4402110641,4.09979,4.40211,0.004,,,
sheriff.reeves.tx.us,TX,4394803946,4.09298,4.3948,0.004,,,
loxleypd.al.us,AL,4358232349,4.05892,4.35823,0.00396,,,
charltonso.org,GA,4355779566,4.05664,4.35578,0.00396,,,
westforkpd.ar.us,AR,4335893134,4.03812,4.33589,0.00394,,,
leecountyil.com,IL,4306576740,4.01081,4.30658,0.00392,,,
ohioago.gov,OH,4289514800,3.99492,4.28951,0.0039,,,
arthur-il.gov,IL,4165217332,3.87916,4.16522,0.00379,,,
moscowpd.id.us,ID,4147848044,3.86298,4.14785,0.00377,,,
pcsheriff.org,New Jersey,4143462159,3.8589,4.14346,0.00377,,,
fortuna.ca.us,CA,4130245445,3.84659,4.13025,0.00376,,,
co.millard.ut.us,UT,4088731019,3.80793,4.08873,0.00372,,,
pd.pointpleasantborough.oceancoso.nj.us,NJ,4081719053,3.8014,4.08172,0.00371,,,
cityofevanston.org,,4029550996,3.75281,4.02955,0.00366,,,
bolivarpd.mo.us,MO,3999633869,3.72495,3.99963,0.00364,,,
cumberland.comms.sp.md.gov,MD,3935801521,3.6655,3.9358,0.00358,,,
pd.bellevuepa.org,PA,3823114275,3.56055,3.82311,0.00348,,,
townofcrosscity.com,FL,3821465232,3.55902,3.82147,0.00348,,,
lagrangetwp.in.us,Indiana,3780569655,3.52093,3.78057,0.00344,,,
cityofpensacola.com,FL,3762040988,3.50367,3.76204,0.00342,,,
buncombecounty.org,NC,3708901513,3.45418,3.7089,0.00337,,,
msi.rjs.api.monitor.pd.prod,Utah,3682280598,3.42939,3.68228,0.00335,,,
hccpct4.tx.us,TX,3670659330,3.41857,3.67066,0.00334,,,
buffalocountywi.gov,WI,3652322175,3.40149,3.65232,0.00332,,,
centerline.gov,MI,3645044174,3.39471,3.64504,0.00332,,,
hansonpolice.org,MA,3632485254,3.38302,3.63249,0.0033,,,
rideuta.com,,3617316658,3.36889,3.61732,0.00329,,,
sclec-ne.org,NE,3616870666,3.36847,3.61687,0.00329,,,
juneaupolice.com,AK,3613459532,3.3653,3.61346,0.00329,,,
humboldtcountynv.gov,NV,3601016010,3.35371,3.60102,0.00328,,,
basstrainingpsap4.bdctrn.ghc.lab,TX,3563755439,3.31901,3.56376,0.00324,,,
wcnyh.gov,NY,3526600285,3.2844,3.5266,0.00321,,,
caledonia-wi.gov,WI,3519384754,3.27768,3.51938,0.0032,,,
wolcottvillepd.in.us,Indiana,3492070283,3.25224,3.49207,0.00318,,,
blount911.com,TN,3466284626,3.22823,3.46628,0.00315,,,
cityofhometown.org,IL,3419307845,3.18448,3.41931,0.00311,,,
richcountysheriff.org,UT,3415676647,3.1811,3.41568,0.00311,,,
basstrainingpsap2.bdctrn.ghc.lab,TX,3414863039,3.18034,3.41486,0.00311,,,
cassco.org,MI,3388980260,3.15623,3.38898,0.00308,,,
yazoosheriff.com,MS,3359013981,3.12833,3.35901,0.00306,,,
dupagesheriff.org,IL,3310733228,3.08336,3.31073,0.00301,,,
ccsq-cql,IL,3290891594,3.06488,3.29089,0.00299,,,
pct3.co.collin.tx.us,,3279208009,3.054,3.27921,0.00298,,,
alpharetta.ga.us,,3194573469,2.97518,3.19457,0.00291,,,
hccpct5.tx.us,TX,3170823523,2.95306,3.17082,0.00288,,,
pd.amherst.ma.us,MA,3170723104,2.95297,3.17072,0.00288,,,
bradleybeachpd.nj.us,NJ,3167037135,2.94953,3.16704,0.00288,,,
lexingtonpd.nc.us,NC,3162374661,2.94519,3.16237,0.00288,,,
overtoncoso.tn.us,TN,3162056878,2.94489,3.16206,0.00288,,,
soside.911.org,TX,3124165563,2.90961,3.12417,0.00284,,,
msi.ccsupport.evidence,IL,3109141308,2.89561,3.10914,0.00283,,,
uppermakefield.org,PA,3075313726,2.86411,3.07531,0.0028,,,
pd.westmonroe.la.us,LA,3052145621,2.84253,3.05215,0.00278,,,
nycrpd.org,PA,3047314881,2.83803,3.04731,0.00277,,,
copley.oh.us,OH,3046981934,2.83772,3.04698,0.00277,,,
91da.eastlandcountytexas.com,TX,3015914222,2.80879,3.01591,0.00274,,,
kingstree.org,SC,3010368776,2.80362,3.01037,0.00274,,,
so.washco-md.net,Maryland,3010332075,2.80359,3.01033,0.00274,,,
pd.beachhaven.oceancoso.nj.us,NJ,2995138031,2.78944,2.99514,0.00272,,,
cityofmonett.com,MO,2985945263,2.78088,2.98595,0.00272,,,
texascity.tx.tcpd.p1prod.gov,,2981733733,2.77696,2.98173,0.00271,,,
northeast.echccst.com,,2978038571,2.77351,2.97804,0.00271,,,
cityofedwardsville.com,IL,2953936061,2.75107,2.95394,0.00269,,,
kearnycounty.kansas911.org,KS,2936995896,2.73529,2.937,0.00267,,,
guntersvilleal.gov,AL,2935708041,2.73409,2.93571,0.00267,,,
mcd911-nortonshorespd.net,MI,2913902189,2.71378,2.9139,0.00265,,,
city.roseau.mn.us,MN,2902183602,2.70287,2.90218,0.00264,,,
