Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
blueearthcountymn.gov,MN,10791752415487,10050.60264,10791.75242,9.81504,,,
lcfla.com,FL,10665498181179,9933.01923,10665.49818,9.70021,,,
marcelinemo.us,MO,10641066761128,9910.26569,10641.06676,9.67799,,,
lasanimascoso.co.us,CO,10588970133709,9861.74693,10588.97013,9.63061,,,
urbandalepd.ia.us,IA,10504727982857,9783.29031,10504.72798,9.55399,,,
leetsdalepd.pa.us,PA,10429567035267,9713.29122,10429.56704,9.48564,,,
surrycoso.nc.us,NC,10396373178128,9682.37703,10396.37318,9.45545,,,
perquimanscountync.gov,NC,10252382832783,9548.27558,10252.38283,9.32449,,,
stcharlespd.mn.us,MN,10181874100337,9482.6092,10181.8741,9.26036,,,
hhoh.org,OH,10137001584729,9440.81841,10137.00158,9.21955,,,
augustaga.gov,GA,9986056870502,9300.24019,9986.05687,9.08227,,,
cityofrockport.com,TX,9689592092967,9024.13585,9689.59209,8.81263,,,
windsorvt.org,VT,9687029533796,9021.74929,9687.02953,8.8103,,,
yorkvillepd.il.us,IL,9540214641865,8885.01726,9540.21464,8.67677,,,
co.lamar.tx.us,TX,9446771537048,8797.99159,9446.77154,8.59179,,,
univofnewhaven.ct.us,CT,9427499676137,8780.04327,9427.49968,8.57426,,,
tucsonaz.gov,AZ,9340688245911,8699.19383,9340.68825,8.49531,,,
dodgecountyne.gov,NE,9238636553858,8604.15078,9238.63655,8.40249,,,
gilacountyaz2.gov,AZ,9147134753108,8518.93309,9147.13475,8.31927,,,
97b85a9cb0a08ec5d8c3ed8c473355ac (Agency not Matched),,9117374069489,8491.21629,9117.37407,8.2922,,,
houstonpolice.org,TX,9063936752832,8441.44891,9063.93675,8.2436,,,
dps.grandhaven.org,MI,8982363941839,8365.47831,8982.36394,8.16941,,,
natchitochesparishso.la.us,LA,8945441544771,8331.09165,8945.44154,8.13583,,,
townofdillon.com,CO,8760688723456,8159.02718,8760.68872,7.9678,,,
sunyocc.edu,NY,8620467307422,8028.43581,8620.46731,7.84027,,,
chicagoridgepolice.org,IL,8614741250251,8023.103,8614.74125,7.83506,,,
fremontne.gov,NE,8595012300273,8004.72898,8595.0123,7.81712,,,
sunsetvalley.org,TX,8592636501554,8002.51635,8592.6365,7.81496,,,
mayodanpd.nc.us,NC,8526294448836,7940.7305,8526.29445,7.75462,,,
bridgevillepolice,DE,8488871422268,7905.87759,8488.87142,7.72058,,,
greshamoregon.gov,Oregon,8410239946674,7832.64632,8410.23995,7.64907,,,
pd.town.beloit.wi.us,,8380825264530,7805.25176,8380.82526,7.62232,,,
graham.az.gov,AZ,8343788911078,7770.75897,8343.78891,7.58863,,,
nslcity.org,UT,8249388967057,7682.84217,8249.38897,7.50278,,,
sheffieldlakepd.oh.us,OH,8182749166953,7620.77902,8182.74917,7.44217,,,
anacortespd.wa.us,WA,8160253162595,7599.82798,8160.25316,7.42171,,,
sylvanlakepd.mi.us,MI,8066068519121,7512.1117,8066.06852,7.33605,,,
columbiacity.net,IN,8040125537412,7487.95042,8040.12554,7.31245,,,
ridgelandms.org,MS,8035885761590,7484.00182,8035.88576,7.3086,,,
keyportpd.org,NJ,7855167353631,7315.69468,7855.16735,7.14423,,,
grand.utah.gov,UT,7604983566183,7082.69287,7604.98357,6.91669,,,
maine.gov,ME,7549880803991,7031.37443,7549.8808,6.86658,,,
sheriffleefl.org,FL,7482828246565,6968.92687,7482.82825,6.80559,,,
sheriff.berkeleycountysc.gov,SC,7430107896338,6919.82722,7430.1079,6.75764,,,
casscountymn.gov,MN,7241181569023,6743.87586,7241.18157,6.58582,,,
co.jackson.wi.us,WI,7129660041181,6640.01335,7129.66004,6.48439,,,
saintalbanspd.vt.us,VT,7082596162086,6596.18169,7082.59616,6.44158,,,
milledgevillepd.com,Georgia,7079515856560,6593.31293,7079.51586,6.43878,,,
ci.woodland.wa.us,WA,6983773690654,6504.14609,6983.77369,6.35171,,,
police.uci.edu,CA,6974656368102,6495.65493,6974.65637,6.34341,,,
frankfortpd.ky.us,KY,6958842861464,6480.92745,6958.84286,6.32903,,,
pd.villageofmidlothian.org,IL,6790392222507,6324.04557,6790.39222,6.17583,,,
beaverheadcounty.org,MT,6784514486516,6318.5715,6784.51449,6.17048,,,
evendaleohio.org,OH,6759011208839,6294.81972,6759.01121,6.14728,,,
sheriff.co.ross.oh.us,OH,6372386305307,5934.74722,6372.38631,5.79565,,,
gonzalespd.org,LA,6308360317326,5875.11837,6308.36032,5.73742,,,
ottawaks.gov,KS,6251627630615,5822.28194,6251.62763,5.68582,,,
carlstadtpd.nj.us,NJ,6236688721090,5808.369,6236.68872,5.67224,,,
police.umkc.edu,MO,6129169338209,5708.23377,6129.16934,5.57445,,,
ci.north-branch.mn.us,MN,6015212810859,5602.10348,6015.21281,5.4708,,,
